Seed,Case_Id,Start_State,Solution_Found,Num_Moves,Num_Nodes_Opened,Computing_Time
111,1,"[2, 0, [[1, 8, 6], [4, 2, 7], [0, 3, 5]]]",0,30,48678,0.7387158870697021
111,2,"[1, 0, [[8, 6, 1], [0, 3, 7], [4, 2, 5]]]",1,25,48989,0.3063030242919922
111,3,"[0, 0, [[0, 1, 8], [5, 6, 3], [7, 2, 4]]]",1,30,676,0.5727968215942383
111,4,"[2, 0, [[6, 4, 7], [3, 2, 8], [0, 1, 5]]]",1,30,44980,0.7089180946350098
111,5,"[0, 2, [[4, 5, 0], [8, 2, 6], [7, 1, 3]]]",0,30,95765,0.8224039077758789
111,6,"[1, 1, [[7, 8, 6], [1, 0, 5], [3, 4, 2]]]",0,30,112461,0.9145011901855469
111,7,"[0, 0, [[0, 4, 2], [1, 3, 5], [7, 8, 6]]]",0,30,83125,0.7203361988067627
111,8,"[0, 2, [[8, 2, 0], [5, 3, 4], [7, 6, 1]]]",0,30,95765,0.8178179264068604
111,9,"[0, 1, [[1, 0, 3], [6, 4, 2], [7, 5, 8]]]",0,30,77263,0.8151559829711914
111,10,"[1, 1, [[5, 3, 7], [4, 0, 6], [2, 8, 1]]]",0,30,112461,0.9158201217651367
